ST	aroC	dnaN	hemD	hisD	purE	sucA	thrA
1	1	1	1	1	1	1	5
2	1	1	2	1	1	1	5
3	1	1	2	1	1	1	9
4	43	41	16	13	34	13	4
5	16	43	45	43	36	39	42
6	4	4	4	5	4	4	8
7	2	2	3	2	2	2	6
8	1	1	2	3	1	1	5
9	33	26	30	55	21	87	134
10	5	2	3	6	5	5	10
11	5	2	3	7	6	6	11
12	6	5	6	7	5	7	12
13	3	3	7	4	3	3	7
14	7	6	8	8	7	8	13
15	2	7	9	9	5	9	12
16	6	7	10	10	8	10	14
17	8	8	11	11	5	11	15
18	9	9	6	12	9	12	2
19	10	7	12	9	5	9	2
20	11	10	13	13	10	13	4
21	12	2	14	14	11	14	16
22	12	2	15	14	11	14	16
23	13	11	16	15	12	15	4
24	13	12	17	16	13	16	4
25	14	13	18	12	14	17	1
26	14	13	18	12	14	18	1
27	5	14	18	9	6	12	17
28	15	15	19	17	5	19	18
29	16	16	20	18	8	12	18
30	10	17	21	12	15	20	18
31	2	2	15	14	15	20	12
32	17	18	22	17	5	21	19
33	2	5	6	7	5	7	12
34	10	19	12	9	5	9	2
35	10	7	12	9	5	9	20
36	18	14	12	9	5	18	21
37	3	3	7	19	3	3	7
38	2	7	10	10	8	10	14
39	19	20	3	20	5	2	22
40	19	20	3	20	5	22	22
41	17	18	12	17	5	21	19
42	20	4	23	14	16	19	18
43	2	14	24	14	2	19	8
44	9	9	6	7	9	12	2
45	10	7	21	14	15	12	12
46	10	7	21	12	15	12	12
47	21	11	16	15	12	15	4
48	22	11	25	21	10	23	23
49	5	14	21	9	6	12	17
50	5	21	18	9	6	12	17
51	16	16	26	18	8	12	18
52	23	9	15	12	17	20	12
53	24	22	27	22	18	24	24
54	25	23	27	23	19	24	25
55	26	24	28	24	20	25	26
56	27	25	29	24	20	26	27
57	28	26	30	25	21	27	28
58	29	27	30	26	21	28	28
59	30	28	31	27	22	29	29
60	31	28	32	28	23	29	30
61	32	29	33	29	24	30	31
62	32	30	34	30	24	31	32
63	33	26	30	26	21	32	28
64	10	14	15	31	25	20	33
65	11	10	13	32	10	13	4
66	34	31	35	14	26	6	8
67	35	32	36	33	27	33	3
68	36	31	35	14	26	34	8
69	37	33	37	34	6	9	34
70	38	34	38	35	28	35	4
71	39	35	8	36	29	9	36
72	40	36	3	37	29	9	36
73	5	2	3	38	5	5	10
74	41	4	23	14	16	19	18
75	14	37	39	33	30	19	37
76	8	38	40	12	5	9	38
77	10	39	41	39	5	19	39
78	5	2	42	7	31	6	11
79	11	11	17	40	32	9	40
80	42	40	17	41	33	36	41
81	43	41	16	42	35	13	4
82	41	42	43	12	9	12	2
83	41	9	21	12	8	37	17
84	44	14	44	14	15	38	17
85	45	4	8	44	27	9	8
86	2	14	24	14	37	19	8
88	46	44	46	46	38	18	34
89	47	45	47	47	39	9	43
90	48	31	35	14	26	40	44
91	49	11	25	15	12	15	4
92	5	2	3	7	31	41	11
93	50	10	25	13	10	13	4
94	42	46	48	48	40	35	4
95	3	36	43	38	16	42	38
96	43	47	49	49	41	15	3
97	51	48	43	50	42	43	45
98	10	7	50	9	5	9	2
99	10	7	12	9	5	9	46
101	52	3	40	51	44	45	3
102	53	49	51	52	45	46	48
103	54	50	27	53	46	47	49
104	55	51	52	54	47	48	50
105	33	26	30	55	21	49	28
106	56	25	29	56	48	50	51
107	57	52	31	57	22	29	30
108	58	29	53	29	24	30	52
110	2	2	24	14	2	19	8
111	41	42	43	12	9	12	53
112	41	42	43	58	9	12	2
113	9	9	6	59	9	12	2
114	48	31	35	14	26	52	8
115	16	2	45	43	36	12	42
116	10	7	21	14	15	39	12
117	16	2	45	43	15	12	42
118	16	2	45	43	36	39	42
119	16	2	18	43	36	12	42
120	16	2	40	43	36	39	42
121	10	7	21	14	36	12	12
122	16	2	45	43	15	39	42
123	10	2	21	43	36	12	42
125	10	7	21	14	15	53	12
126	11	10	25	13	10	35	4
127	46	54	46	46	38	18	34
128	10	7	12	9	5	55	2
129	45	4	8	44	27	56	8
130	45	4	8	44	50	9	8
131	10	56	21	14	15	12	12
132	2	57	15	14	15	20	12
133	36	31	35	14	26	6	55
134	45	4	8	44	53	9	8
135	46	55	23	14	16	54	56
136	5	2	3	61	6	6	11
137	10	7	12	9	5	57	2
138	11	41	55	42	34	58	4
139	36	31	57	14	26	34	8
140	13	11	17	16	13	60	4
141	59	58	56	62	51	59	16
142	2	59	23	64	38	61	12
143	60	12	17	63	13	16	4
145	36	31	35	14	26	6	8
146	48	31	35	14	26	40	8
147	48	31	35	14	26	44	47
148	2	59	23	64	38	62	12
149	2	14	24	14	49	19	8
150	61	12	10	65	54	63	57
151	62	53	54	60	5	64	54
152	62	53	54	60	5	53	54
155	10	60	58	66	6	65	16
156	63	14	6	12	5	14	58
157	10	61	21	12	15	12	12
158	10	62	21	67	15	12	12
159	10	7	12	9	5	66	2
160	65	25	29	69	48	26	60
161	33	26	30	55	56	68	61
162	30	28	31	57	57	69	30
163	16	2	60	43	36	39	42
164	16	2	45	70	36	39	42
165	10	7	21	14	58	12	12
166	5	14	6	12	5	14	58
167	16	2	61	71	36	39	42
168	66	2	3	7	6	6	11
169	50	63	25	72	59	71	62
170	41	42	62	58	9	12	2
171	67	10	17	73	9	9	4
172	68	2	3	7	5	6	10
173	69	42	43	58	9	12	2
174	50	63	25	72	59	71	63
175	13	12	63	16	13	72	4
176	41	42	64	12	9	12	2
177	41	42	65	58	9	12	2
178	5	15	66	46	5	6	22
179	39	41	25	74	40	13	3
180	41	2	3	7	5	6	10
181	70	7	10	10	2	10	14
182	16	16	20	18	8	73	18
183	5	2	3	7	60	6	11
184	10	64	21	14	15	12	33
185	71	65	67	75	61	9	64
186	72	32	10	33	62	74	3
187	16	43	45	43	36	39	12
188	2	7	15	14	15	39	12
189	16	2	45	14	36	39	42
190	16	2	40	43	36	19	42
191	2	2	15	14	15	20	42
192	73	66	68	76	63	75	65
193	10	2	21	14	15	20	12
194	12	2	69	14	11	14	16
195	43	41	16	13	12	13	4
196	74	6	70	8	7	76	13
197	75	67	10	17	15	9	66
198	76	14	3	77	64	64	67
199	16	2	45	43	65	39	42
200	77	2	15	14	15	20	12
201	16	7	21	14	15	12	42
202	78	68	18	46	66	10	34
203	81	69	36	12	68	12	17
204	10	7	12	9	5	74	2
205	10	7	12	9	5	46	2
206	15	70	51	78	64	6	68
208	82	38	26	12	27	78	70
210	74	6	70	8	7	79	13
211	10	7	21	12	15	12	71
212	10	71	21	12	15	20	18
213	10	7	12	9	70	9	2
214	14	72	21	12	6	19	15
216	2	73	41	79	71	65	72
217	71	65	67	75	73	9	64
221	62	53	54	77	5	53	54
223	16	2	61	43	36	39	42
225	83	11	16	13	77	71	4
226	84	76	38	16	12	13	4
227	13	34	71	80	59	83	4
228	85	77	72	81	78	84	76
229	86	77	73	22	18	85	77
230	87	78	74	82	48	50	60
231	56	24	75	83	79	86	78
232	56	25	75	55	80	26	79
233	88	26	30	55	21	87	80
234	33	79	30	84	81	87	28
235	88	26	30	55	21	87	28
236	89	28	31	27	82	88	81
237	90	28	76	27	83	89	30
238	11	10	25	13	12	35	4
239	50	80	25	85	40	58	4
240	91	81	8	86	84	90	82
241	43	47	49	16	41	15	3
242	25	82	77	22	85	91	25
243	88	26	30	87	21	87	80
244	88	26	30	26	21	92	80
245	43	83	17	49	12	93	83
246	36	31	35	84	26	6	8
