ST	adk	gyrB	mdh	metE	pntA	purM	pyrC	clonal_complex
1	1	1	4	48	29	1	41	
2	1	1	4	48	29	17	41	
3	1	15	19	15	24	5	14	
4	1	41	21	4	2	16	43	
5	1	42	4	60	20	1	12	
6	1	8	15	5	13	1	7	
7	10	13	25	57	34	10	25	
8	11	27	11	56	19	1	4	
9	12	23	2	49	30	1	40	
10	12	23	2	6	30	17	40	
11	12	5	3	33	31	18	26	
12	13	40	17	46	3	9	39	
13	14	1	14	44	6	9	39	
14	14	14	4	53	22	17	35	
15	14	23	6	47	11	1	36	
16	14	31	20	39	16	1	13	
17	14	38	14	43	8	21	11	
18	14	6	14	7	3	20	47	
19	14	6	29	11	25	1	24	
20	15	29	16	18	10	1	22	
21	16	33	26	31	34	11	26	
22	17	5	14	50	31	14	23	
23	17	5	25	32	36	11	29	
24	18	5	14	40	17	1	1	
25	19	23	14	12	1	1	6	
26	19	9	12	23	9	1	5	
27	1	1	1	1	1	1	1	
28	2	23	15	42	18	13	10	
29	2	5	13	19	6	6	5	
30	2	6	29	2	25	1	3	
31	2	7	8	22	39	1	45	
32	20	41	5	3	18	2	4	
33	21	37	23	58	35	7	28	
34	22	32	24	20	33	9	27	
35	22	32	24	20	5	1	27	
36	22	39	10	38	3	17	15	
37	23	34	26	57	37	10	25	
38	24	5	1	6	39	18	2	
39	24	5	14	50	31	14	45	
40	24	5	14	55	30	1	44	
41	24	5	14	55	7	1	45	
42	25	5	22	16	21	8	11	
43	26	23	2	50	31	1	45	
44	26	5	1	50	14	18	45	
45	26	5	1	8	14	14	45	
46	26	5	14	50	31	14	2	
47	26	5	14	50	31	15	45	
48	26	5	14	54	28	14	45	
49	26	5	2	1	31	17	45	
50	26	5	2	1	31	19	45	
51	27	5	9	21	30	6	45	
52	28	35	31	14	27	22	8	
53	29	35	33	51	26	32	21	
54	3	28	11	56	19	12	4	
55	30	16	36	62	40	24	30	
56	31	18	41	52	40	23	33	
57	31	22	40	24	41	28	17	
58	32	20	39	29	44	30	19	
59	32	21	38	26	46	25	34	
60	32	22	42	27	41	27	18	
61	33	19	35	30	42	29	31	
62	34	17	34	28	43	31	16	
63	35	19	37	25	45	26	32	
64	2	2	2	2	2	2	2	
65	4	23	28	13	25	1	9	
66	5	26	14	34	2	4	47	
67	6	4	14	35	15	3	46	
68	7	11	4	17	23	1	35	
69	7	11	4	37	12	1	20	
70	7	11	4	37	12	1	37	
71	7	11	4	37	12	1	38	
73	7	11	4	9	12	1	38	
74	7	12	14	37	12	1	36	
75	7	2	4	37	12	1	38	
76	4	4	4	4	4	4	4	
77	7	36	7	10	38	1	42	
78	8	30	27	36	3	9	39	
79	9	25	3	41	6	1	5	
80	2	5	45	56	6	36	51	
81	24	36	1	50	30	18	45	
82	2	5	29	19	6	36	51	
83	2	38	14	56	6	36	51	
84	3	41	4	48	47	35	5	
85	3	23	15	48	47	35	5	
86	19	46	14	22	48	1	52	
87	19	1	14	66	48	1	52	
88	11	27	11	63	19	1	4	
89	2	23	45	48	47	35	5	
90	26	5	46	50	31	14	45	
91	38	47	44	65	49	1	53	
92	27	5	14	22	30	18	45	
93	39	27	14	67	50	1	42	
94	2	44	11	64	6	8	10	
95	37	42	43	47	27	34	50	
96	3	41	12	1	19	38	59	
97	41	46	23	68	30	36	45	
98	1	41	47	73	18	1	60	
99	42	41	14	74	55	39	61	
100	43	48	46	75	54	14	58	
101	1	36	46	70	53	6	57	
102	11	36	8	71	2	1	47	
103	40	5	48	50	31	6	45	
104	38	23	15	76	51	40	55	
105	2	37	8	77	56	37	62	
106	14	23	49	72	52	6	56	
107	2	5	1	69	31	18	54	
108	11	36	8	59	49	1	67	
109	12	34	2	5	63	14	26	
110	1	33	15	78	34	6	29	
111	14	23	13	84	18	1	60	
112	14	23	14	76	31	41	45	
113	14	23	14	9	59	36	35	
114	14	25	29	80	6	1	64	
115	14	4	14	35	66	1	46	
116	1	44	46	59	49	18	67	
117	1	49	15	81	57	11	20	
118	1	51	46	82	60	43	35	
119	1	53	15	90	65	6	38	
120	16	49	50	1	57	11	20	
121	17	13	51	78	58	11	25	
122	17	34	51	75	62	11	45	
123	17	46	50	1	30	11	40	
124	17	49	1	79	6	1	63	
125	17	5	50	56	6	1	51	
126	2	41	46	85	61	18	47	
127	24	41	15	75	62	1	45	
128	2	44	12	86	49	1	68	
129	2	44	44	86	63	36	26	
130	2	44	44	86	63	36	69	
131	26	30	2	91	66	1	73	
132	26	55	2	9	49	14	65	
133	3	38	46	80	25	3	64	
134	3	41	15	75	61	35	45	
135	38	50	15	13	59	42	20	
136	44	11	14	70	12	1	38	
137	44	36	15	59	49	1	67	
138	44	38	15	76	47	8	20	
139	44	46	15	22	30	6	45	
140	45	25	15	41	6	3	5	
141	46	38	1	80	25	18	64	
142	47	23	14	48	47	17	5	
143	47	49	1	36	57	6	20	
144	47	49	14	78	36	17	29	
145	47	5	14	19	30	17	45	
146	48	38	15	13	2	42	65	
147	49	23	52	83	9	1	66	
148	49	36	8	63	19	6	4	
149	50	44	12	1	49	11	67	
150	51	36	46	63	19	6	4	
151	52	5	14	89	64	1	71	
152	53	23	54	50	31	44	45	
153	54	34	26	31	36	45	29	
154	6	23	55	92	67	47	74	
155	7	41	4	85	61	1	47	
156	7	46	53	47	25	36	46	
157	7	46	53	6	39	36	2	
158	7	6	53	87	25	36	70	
159	9	52	3	88	3	36	41	
160	12	5	3	97	30	14	26	
161	17	34	23	57	36	10	76	
162	26	5	45	50	31	1	45	
163	26	5	45	50	31	14	45	
164	55	5	14	94	69	8	10	
165	55	56	14	36	49	8	10	
166	56	31	56	66	68	48	13	
167	56	31	56	93	68	48	13	
168	7	11	4	98	12	1	38	
169	7	2	4	36	12	1	38	
170	7	2	4	87	12	1	38	
171	7	44	15	95	2	1	75	
172	7	57	15	95	6	1	75	
173	7	57	15	96	2	1	75	
174	55	5	14	94	69	8	77	
175	14	9	14	23	9	1	5	
176	7	57	15	95	2	1	75	
177	7	57	15	96	2	1	60	
178	1	31	56	99	70	48	13	
179	55	58	14	94	12	8	10	
180	14	59	46	100	71	1	78	
181	7	57	15	37	2	1	36	
182	7	2	4	47	12	1	38	
183	14	5	4	36	6	1	13	
184	13	56	14	31	13	17	35	
185	17	34	45	78	58	45	26	
186	45	48	14	12	1	1	12	
187	17	5	26	32	58	11	25	
188	1	60	57	101	2	1	24	
189	3	5	58	69	25	1	65	
190	14	11	49	83	50	13	79	
191	44	61	5	88	25	1	80	
192	55	23	14	102	29	1	1	
193	19	26	4	10	6	1	81	
194	19	5	15	103	62	1	43	
195	13	48	7	104	49	1	9	
196	2	23	59	105	18	1	82	
197	1	41	7	106	2	1	47	
198	48	23	15	83	9	1	66	
199	2	36	13	7	13	1	45	
200	8	25	4	65	14	1	4	
201	2	5	15	10	24	3	35	
202	26	5	3	1	30	6	5	
203	6	5	15	79	24	17	45	
204	14	36	45	79	57	1	75	
205	14	5	45	19	25	1	4	
206	2	5	45	50	31	18	45	
207	44	41	4	107	72	17	83	
208	2	1	3	50	13	1	84	
209	17	5	51	31	34	11	29	
210	39	5	1	50	31	14	45	
211	24	5	8	108	14	1	44	
212	26	5	14	109	31	14	45	
213	1	46	15	110	9	17	85	
214	7	1	5	6	15	2	57	
215	55	58	14	94	69	8	10	
216	7	1	20	37	4	2	57	
217	1	41	14	10	49	1	65	
218	1	41	14	71	49	39	65	
219	1	5	14	12	6	1	4	
220	1	41	14	89	49	39	65	
221	1	14	14	99	16	1	57	
222	1	28	14	89	13	16	1	
223	1	48	14	89	49	39	57	
224	1	41	14	74	13	39	57	
225	1	41	14	74	13	1	57	
226	1	48	14	89	49	39	65	
227	1	36	14	10	13	39	39	
228	2	5	7	65	61	37	60	
229	2	23	14	42	18	39	42	
230	2	5	7	89	50	39	60	
231	7	43	14	89	13	39	75	
232	7	48	46	13	22	1	38	
233	7	38	14	69	25	1	41	
234	7	38	14	89	50	39	57	
235	7	48	14	89	6	39	57	
236	7	38	14	89	6	39	4	
237	7	15	51	89	3	39	38	
238	7	54	46	89	22	39	38	
239	14	26	15	67	1	1	47	
240	14	18	15	89	3	39	65	
241	14	54	33	89	6	39	65	
242	14	54	15	13	3	39	39	
243	18	61	14	73	6	1	42	
244	18	14	14	73	3	39	57	
245	26	43	14	10	49	31	65	
246	29	36	39	29	6	25	64	
247	29	36	39	29	22	25	64	
248	29	36	19	89	50	39	57	
249	29	54	14	29	6	39	60	
250	31	18	36	28	49	27	30	
251	31	18	36	28	6	27	30	
252	31	18	36	28	13	27	30	
253	32	22	39	87	62	27	16	
254	32	20	36	29	22	25	71	
255	34	43	33	61	26	31	8	
256	34	43	33	61	26	31	38	
257	47	1	14	75	62	17	71	
258	3	62	14	111	57	1	20	
259	7	57	15	96	2	1	5	
